COMUNA,TIPO_DELITO,DIA_SEMANA,BLOQUE_HORARIO,NIVEL_RIESGO,CONFIANZA_PREDICCION,PROBABILIDAD_ALTO,PROBABILIDAD_MEDIO,PROBABILIDAD_BAJO,DELITOS_HISTORICOS
Comuna Cabecera del Llano,DELITOS SEXUALES,martes,MAÑANA,MEDIO,0.7120403481396507,0.055231092261158424,0.7120403481396507,0.23272855959919123,8.0
Comuna Cabecera del Llano,DELITOS SEXUALES,martes,TARDE,MEDIO,0.6092096982910045,0.03757585601906391,0.6092096982910045,0.35321444568993177,6.0
Comuna Cabecera del Llano,DELITOS SEXUALES,martes,NOCHE,BAJO,0.4985211318943689,0.01809993046134659,0.4833789376442846,0.4985211318943689,6.0
Comuna Cabecera del Llano,DELITOS SEXUALES,miércoles,MADRUGADA,MEDIO,0.6068274736727178,0.0,0.6068274736727178,0.3931725263272823,4.0
Comuna Cabecera del Llano,DELITOS SEXUALES,miércoles,MAÑANA,MEDIO,0.8614212780119144,0.041102781241703884,0.8614212780119144,0.0974759407463819,7.0
Comuna Cabecera del Llano,DELITOS SEXUALES,miércoles,TARDE,MEDIO,0.779090918923302,0.018531612500299676,0.779090918923302,0.20237746857639816,10.0
Comuna Cabecera del Llano,DELITOS SEXUALES,miércoles,NOCHE,MEDIO,0.7099194332802372,0.011509550617024437,0.7099194332802372,0.27857101610273827,7.0
Comuna Cabecera del Llano,DELITOS SEXUALES,jueves,MADRUGADA,MEDIO,0.3888920373591148,0.3861647457127488,0.3888920373591148,0.22494321692813632,0.0
Comuna Cabecera del Llano,DELITOS SEXUALES,jueves,MAÑANA,MEDIO,0.7301335683750506,0.042687119056217276,0.7301335683750506,0.22717931256873247,7.0
Comuna Cabecera del Llano,DELITOS SEXUALES,jueves,TARDE,MEDIO,0.4755316005628534,0.05326534956291837,0.4755316005628534,0.4712030498742282,5.0
